Time;CellName;PRBUsageUL;PRBUsageDL;meanThr_DL;meanThr_UL;maxThr_DL;maxThr_UL;meanUE_DL;meanUE_UL;maxUE_DL;maxUE_UL;maxUE_UL+DL;Unusual
10:15;9BLTE;1.8190;0.5050;0.0330;0.0230;0.9440;1.2710;1.0610;1.0210;3;2;5;0
17:15;3CLTE;7.5790;1.0110;0.2290;0.0290;22.3760;0.6970;1.1010;1.0310;5;3;8;0
9:30;9ALTE;15.2590;1.8190;0.4970;0.0560;43.8250;0.9730;1.2530;1.0810;6;4;10;0
15:00;6ULTE;2.8290;3.8400;0.4620;0.0850;8.8410;0.9640;1.3440;0.0100;6;4;10;0
8:45;8BLTE;14.9550;4.3450;1.8310;0.0890;52.7480;1.7230;1.2130;1.0510;5;3;8;0
18:45;7ALTE;0.3016;1.9334;0.6910;0.0774;27.6443;0.9661;1.1826;0.0105;5;2;7;1
19:45;4ALTE;4.4038;0.7047;0.0839;0.0214;6.3937;0.4613;1.0837;1.0707;4;3;7;1
0:15;6BLTE;18.5930;11.0140;5.3020;0.5650;57.6510;45.3500;1.2330;0.0100;5;4;9;0
17:00;7WLTE;1.1120;2.7280;0.7000;0.0670;28.5430;0.8770;1.2230;0.0100;4;3;7;0
20:30;5ALTE;7.8820;2.8290;0.6240;0.0430;13.5240;1.4020;1.1220;1.0510;3;3;6;0
14:45;7VLTE;1.6170;3.6380;0.4370;0.0610;15.1180;0.8300;1.2630;0.0100;5;3;8;0
20:00;7CLTE;0.3030;1.0110;0.4350;0.0530;42.5220;2.6450;1.1220;0.0100;4;3;7;0
6:00;5BLTE;5.2550;0.4040;0.0080;0.0040;0.2690;0.0620;1.0310;1.0210;2;2;4;0
8:15;4ALTE;3.3350;0.8080;0.3650;0.0340;18.9730;1.5340;1.1120;1.0310;3;2;5;0
16:45;4ALTE;7.0360;0.9629;0.2127;0.0281;20.7701;0.8857;1.1085;1.0678;6;2;8;1
3:45;10ALTE;4.6328;2.2418;0.8760;0.0261;29.5568;0.3925;1.0771;1.0651;4;2;6;1
19:00;10BLTE;7.6800;1.1120;0.4400;0.0340;56.6470;0.3940;1.1220;1.0610;4;3;7;0
18:45;1ALTE;10.7488;1.7033;0.3966;0.0431;26.0829;0.6979;1.2739;1.1160;5;4;9;1
11:00;4ALTE;2.7832;0.8017;0.3437;0.0339;20.4105;0.6296;1.1025;1.0438;4;3;7;1
17:45;5CLTE;18.8960;3.6380;0.7410;0.0810;23.9380;0.5480;1.2630;1.1420;7;5;12;0
7:00;8BLTE;2.8554;0.5067;0.0252;0.0100;1.0393;0.1754;1.0509;1.0273;4;2;6;1
7:00;8ALTE;9.8020;1.4150;0.4890;0.0460;19.5450;0.5060;1.1010;1.0210;4;3;7;0
20:45;2ALTE;0.1010;0.5050;0.0670;0.0200;0.3850;0.0880;1.0110;0.0100;1;1;2;0
0:45;6CLTE;3.1330;0.4040;0.0240;0.0080;0.6230;0.1460;1.0310;0.0100;2;2;4;0
11:15;10ALTE;9.0281;2.0224;0.7540;0.0539;44.9534;0.7144;1.1695;1.0502;4;3;7;1
14:00;5CLTE;11.3463;1.4883;0.3471;0.0509;13.5715;0.7291;1.2214;1.0713;6;4;10;1
16:45;5BLTE;30.4160;4.6480;1.5030;0.1420;26.8620;2.9250;1.6570;1.2430;7;6;13;0
6:15;1CLTE;10.1050;1.0110;0.5330;0.0320;28.0440;4.3950;1.0510;1.0210;3;3;6;0
1:00;2ALTE;0.4039;0.4177;0.0652;0.0148;2.1875;0.1416;1.0175;0.0106;1;1;2;1
4:00;9BLTE;1.0110;0.5050;0.0720;0.0180;2.1840;0.1680;1.0210;1.0110;2;2;4;0
14:15;1CLTE;24.3530;3.9410;0.8400;0.1200;15.1270;2.1480;1.5260;1.2430;7;5;12;0
19:00;3ALTE;16.1680;1.7180;0.4010;0.0650;10.7490;0.6960;1.5260;1.1010;7;5;12;0
0:00;6VLTE;3.4360;5.3560;0.7070;0.0810;12.1760;0.6360;1.3840;0.0100;5;5;10;0
10:00;6ALTE;14.9550;2.2230;0.8840;0.0970;45.8900;4.4340;1.2630;0.0100;6;4;10;0
18:15;6VLTE;2.2230;2.8290;0.2710;0.0500;4.7230;0.4020;1.2530;0.0100;6;4;10;0
5:15;9BLTE;0.7070;0.4040;0.0430;0.0240;0.9460;0.5080;1.0110;1.0110;2;1;3;0
16:30;8CLTE;7.1750;1.2130;0.2500;0.0290;22.0320;0.8320;1.0910;1.0410;4;3;7;0
16:45;6BLTE;25.5660;2.8290;0.5760;0.0600;28.3300;0.5520;1.2630;0.0100;6;4;10;0
1:00;9BLTE;3.6470;0.8985;0.1674;0.0233;4.9498;1.1383;1.0651;1.0094;4;2;6;1
5:15;6ALTE;3.6919;0.8313;0.3254;0.0250;52.5077;0.3266;1.0927;0.0101;3;3;6;1
14:45;9ALTE;7.4780;1.2130;0.4010;0.0420;25.1450;1.3430;1.1320;1.0710;4;3;7;0
9:30;10BLTE;0.8458;0.5063;0.0895;0.0176;3.7622;0.1659;1.0584;1.0365;2;2;4;1
7:30;1BLTE;4.0420;0.8080;0.1910;0.0250;6.4380;0.5860;1.0510;1.0110;3;3;6;0
21:30;7CLTE;0.1010;0.7070;0.1790;0.0240;5.2210;0.4190;1.1010;0.0100;4;2;6;0
20:45;6ALTE;7.1750;0.9090;0.2520;0.0700;11.1230;2.0480;1.2020;0.0100;4;3;7;0
17:00;7WLTE;0.9090;2.8290;0.3820;0.0410;21.0070;0.6200;1.2330;0.0100;5;3;8;0
22:45;2ALTE;0.1000;0.4224;0.0313;0.0091;0.1041;0.0272;1.0435;0.0103;1;1;2;1
6:15;7VLTE;0.1010;0.9090;0.1020;0.0180;9.8270;0.2660;1.0210;0.0100;2;2;4;0
21:45;10BLTE;4.4460;1.1120;0.3690;0.0290;7.5060;0.5780;1.0810;1.0210;3;3;6;0
4:15;1BLTE;2.0210;0.5050;0.0950;0.0150;11.0870;0.4460;1.0210;1.0110;3;1;4;0
17:45;4CLTE;15.7100;6.4045;1.6495;0.0608;34.7968;1.2421;1.2329;1.1620;6;5;11;1
12:00;3BLTE;11.5933;2.2008;0.6764;0.0453;31.1115;0.9987;1.2634;1.1183;7;4;11;1
15:15;6WLTE;10.4080;5.3560;0.7350;0.1510;19.3330;1.3890;1.4050;0.0100;5;5;10;0
11:30;6BLTE;13.0733;1.4335;0.4792;0.0438;10.5192;0.5011;1.1258;0.0103;5;3;8;1
19:00;4BLTE;24.1510;4.0420;1.1390;0.1510;18.8660;1.0720;1.6570;1.1820;7;6;13;0
18:00;9BLTE;8.1850;0.7070;0.1220;0.0260;6.1740;0.4090;1.0610;1.0310;4;3;7;0
5:00;5ALTE;1.3397;0.4059;0.0468;0.0131;3.6735;0.3116;1.0202;1.0114;3;2;5;1
18:15;5CLTE;14.3815;5.8587;1.4133;0.0980;29.4264;3.1181;1.3143;1.1821;6;4;10;1
22:00;2ALTE;0.3030;0.4040;0.0060;0.0060;0.1090;0.0300;1.0110;0.0100;1;1;2;0
8:30;4ALTE;4.7490;1.6170;0.5900;0.0340;20.1880;0.5870;1.0710;1.0210;3;3;6;0
10:30;4BLTE;28.1930;2.7280;0.6690;0.1150;27.6440;2.7550;1.5760;1.2530;8;5;13;0
20:30;7CLTE;0.4040;0.9090;0.2560;0.0530;9.7650;0.8600;1.2330;0.0100;5;3;8;0
19:45;2ALTE;0.2020;0.4040;0.0370;0.0110;0.3540;0.0970;1.0110;0.0100;1;1;2;0
15:00;6ALTE;10.2060;2.7280;0.8120;0.0570;28.5150;0.9650;1.1520;0.0100;4;3;7;0
21:15;6ALTE;7.3770;1.1120;0.3320;0.0440;19.0430;0.6640;1.1520;0.0100;4;2;6;0
7:15;7ULTE;0.3030;0.9090;0.0440;0.0130;1.8670;0.4370;1.0410;0.0100;2;2;4;0
5:45;7ULTE;0.5050;2.1220;0.6200;0.0380;28.0640;0.6280;1.0810;0.0100;3;2;5;0
4:15;4BLTE;3.4360;0.4040;0.0090;0.0050;0.8400;0.2350;1.0310;1.0110;2;2;4;0
8:30;3BLTE;13.0350;1.4150;0.3120;0.0530;19.2220;3.4770;1.2130;1.0610;5;4;9;0
9:15;4BLTE;28.1930;6.6690;2.2060;0.1390;35.8620;1.2420;1.5860;1.2730;8;5;13;0
10:15;7ALTE;0.8080;3.1330;1.1010;0.0740;51.5720;0.6670;1.3440;0.0100;6;4;10;0
19:30;7CLTE;0.3030;0.9090;0.2180;0.0310;27.2450;1.0230;1.1220;0.0100;5;3;8;0
22:30;5ALTE;7.8820;1.3140;0.4590;0.1480;43.6060;10.5750;1.1720;1.1320;5;4;9;0
23:45;6CLTE;3.9254;0.6319;0.1654;0.0224;11.6064;0.6936;1.1071;0.0100;4;3;7;1
18:15;9BLTE;6.2650;0.5050;0.0860;0.0180;6.2260;0.4030;1.0410;1.0310;3;3;6;0
22:45;10ALTE;6.9720;0.9090;0.2040;0.0240;9.4950;0.7210;1.0610;1.0210;3;2;5;0
0:45;4BLTE;8.9930;0.8080;0.1640;0.0240;17.0800;0.9510;1.1420;1.0410;5;3;8;0
2:45;6ALTE;2.5260;0.4040;0.0100;0.0070;0.3210;0.0810;1.0210;0.0100;2;2;4;0
23:00;2ALTE;0.1068;0.4124;0.0113;0.0071;0.0284;0.0161;1.0315;0.0101;2;1;3;1
20:00;6VLTE;2.7727;7.7819;0.6814;0.0702;10.9084;1.5042;1.2948;0.0102;5;5;10;1
8:15;7CLTE;0.5050;2.0210;0.6330;0.0400;19.5500;0.5140;1.1320;0.0100;4;3;7;0
22:00;9BLTE;7.3770;1.3140;0.3740;0.0320;19.3460;1.7970;1.0610;1.0810;3;3;6;0
3:30;1CLTE;12.7320;1.0110;0.3230;0.0340;8.2050;0.4450;1.1220;1.0410;4;4;8;0
10:30;10BLTE;7.0740;0.7070;0.1490;0.0280;5.5410;0.6890;1.0810;1.0410;4;5;9;0
14:15;2ALTE;0.7070;0.7070;0.3430;0.0250;5.3900;0.2480;1.0110;0.0100;1;1;2;0
4:15;1BLTE;1.1120;0.4040;0.0150;0.0050;0.5320;0.1910;1.0310;1.0210;2;2;4;0
19:30;5CLTE;14.5510;1.9200;0.6110;0.0650;24.6140;0.7490;1.2230;1.0710;5;3;8;0
14:00;6ULTE;2.4250;4.7490;0.9180;0.1030;18.7090;1.3520;1.4750;0.0100;7;3;10;0
13:00;3BLTE;23.2420;3.8400;0.8610;0.1070;22.1580;0.9040;1.5360;1.5060;6;7;13;0
19:00;7ULTE;1.7180;4.6480;0.5520;0.0460;20.3230;0.7010;1.2230;0.0100;5;3;8;0
4:15;10CLTE;1.6170;0.4040;0.0180;0.0110;0.6680;0.7700;1.0210;1.0110;2;1;3;0
6:45;8CLTE;0.9090;0.4040;0.0090;0.0120;0.0840;0.3450;1.0110;1.0110;2;1;3;0
3:30;6ULTE;0.5204;1.8155;0.3429;0.0338;16.0628;0.4371;1.0874;0.0104;3;2;5;1
21:45;7BLTE;0.3043;2.7456;1.4752;0.0445;35.0114;0.8190;1.2232;0.0103;5;3;8;1
11:00;7ULTE;6.0630;8.9930;1.8630;0.5020;51.3840;20.4610;1.9100;0.0100;9;6;15;0
1:15;7BLTE;0.3194;0.9298;0.2503;0.0463;8.2180;1.7541;1.3659;0.0101;5;4;9;1
20:15;4ALTE;9.2970;2.3240;1.1580;0.0830;53.4670;0.8140;1.1520;1.0310;4;3;7;0
16:30;3ALTE;16.4132;3.9528;0.9488;0.0760;27.9699;1.0385;1.2999;1.2226;6;5;11;1
17:45;7WLTE;1.0110;2.9300;0.3190;0.0440;16.8270;0.8030;1.2330;0.0100;5;3;8;0
3:45;6BLTE;5.8610;0.5050;0.0250;0.0150;1.1230;0.1970;1.0410;0.0100;3;2;5;0
9:30;7WLTE;1.4150;2.8290;0.4720;0.0460;24.2350;0.4920;1.2020;0.0100;4;3;7;0
1:45;1CLTE;25.7223;5.6271;2.1397;0.1070;42.2619;0.5722;1.5874;1.4571;7;7;14;1
2:00;7BLTE;0.1010;0.6060;0.1450;0.0160;18.5700;0.2750;1.0710;0.0100;4;2;6;0
0:30;7BLTE;0.1010;0.5050;0.0940;0.0210;4.0090;0.7460;1.1620;0.0100;4;2;6;0
11:45;6ULTE;2.5260;2.8290;0.5190;0.0830;16.7910;1.0230;1.5970;0.0100;9;4;13;0
1:00;10CLTE;5.3416;1.5491;0.5727;0.0412;22.8132;0.4524;1.1135;1.0989;5;3;8;1
21:30;5BLTE;10.7110;1.1120;0.3300;0.0400;11.0210;0.4490;1.1520;1.0510;4;4;8;0
13:30;10ALTE;26.4750;1.9200;0.6380;0.3970;17.6080;1.0680;1.4050;1.1010;6;4;10;0
22:45;8BLTE;8.5890;0.7070;0.1280;0.0290;4.1620;0.2660;1.1010;1.0210;4;3;7;0
11:45;5BLTE;33.2450;4.1430;1.9600;0.1670;26.0000;2.0950;1.6980;1.3440;8;6;14;0
9:45;9ALTE;13.3390;1.7180;0.6790;0.1600;29.3150;11.5170;1.2630;1.0610;6;3;9;0
0:45;1CLTE;29.2030;2.8290;0.9240;0.2420;16.4170;4.7860;1.5160;1.2630;7;5;12;0
3:30;9ALTE;0.7070;0.4040;0.0130;0.0040;0.4590;0.0700;1.0110;1.0110;1;1;2;0
11:15;10ALTE;24.2520;2.1220;0.6160;0.1700;38.5620;1.2680;1.4850;1.2530;6;6;12;0
12:00;6ULTE;3.0320;3.5370;0.6830;0.0800;22.4420;2.1400;1.3940;0.0100;6;4;10;0
12:00;3CLTE;6.6750;2.5087;1.1077;0.0457;43.4096;0.9441;1.1964;1.0684;5;3;8;1
0:30;7BLTE;0.3030;1.4150;0.5430;0.0410;44.3790;0.6750;1.2230;0.0100;5;3;8;0
20:00;3ALTE;10.0040;1.0110;0.2620;0.0310;18.8580;0.7130;1.1220;1.0510;4;4;8;0
1:30;9BLTE;1.7180;0.7070;0.4120;0.0280;10.9060;0.5800;1.0310;1.0110;2;2;4;0
1:00;9ALTE;1.0110;0.5050;0.2320;0.0540;5.4150;0.4790;1.0210;1.0110;2;2;4;0
9:45;5BLTE;10.8747;1.3656;0.3157;0.0575;28.5977;0.5448;1.1508;1.0550;4;4;8;1
7:30;9ALTE;1.1120;0.4040;0.0540;0.0100;3.9880;0.1300;1.0210;1.0110;2;1;3;0
17:00;6BLTE;16.0670;6.5680;2.8160;0.3240;57.4540;38.7270;1.2230;0.0100;5;4;9;0
11:45;10BLTE;8.9930;1.8190;0.5700;0.0590;27.8400;1.7300;1.1820;1.0510;5;3;8;0
9:30;1BLTE;6.2697;0.8517;0.1760;0.0318;17.6105;1.6882;1.0840;1.0537;4;4;8;1
9:45;6WLTE;3.4360;2.3240;0.2440;0.0880;11.9860;2.8550;1.1820;0.0100;5;3;8;0
11:45;9BLTE;4.1430;1.2130;0.5120;0.0270;68.1530;0.4210;1.0610;1.0210;3;2;5;0
23:15;2ALTE;0.1010;0.4040;0.0010;0.0010;0.0010;0.0010;1.0110;0.0100;1;1;2;0
7:45;9ALTE;1.9886;0.5305;0.0782;0.0133;2.7573;0.2586;1.0238;1.0493;2;2;4;1
18:15;3ALTE;14.3490;2.6270;0.6230;0.0670;29.0690;1.2520;1.2730;1.1820;5;5;10;0
20:15;5CLTE;16.7740;2.0210;0.5630;0.0850;23.1460;7.6570;1.2230;1.0710;5;4;9;0
23:45;6WLTE;9.8020;2.1220;0.2150;0.2140;12.1840;0.6980;1.2630;0.0100;5;4;9;0
21:15;3BLTE;16.7740;2.6270;0.8730;0.0890;25.0640;1.2000;1.2330;1.1120;5;4;9;0
4:00;1BLTE;2.3240;0.6060;0.2670;0.0180;12.6700;0.2880;1.0310;1.0110;3;2;5;0
